Vaga,Empresa,Avaliação,Local,Data,Descrição,Link
Pessoa Analista De Riscos e Controles Sênior,Iguá Saneamento,"4,4","Rio de Janeiro, RJ",PostedAnunciada há 20 dia,"Para o nosso time, buscamos pessoas protagonistas e dispostas a inovar, atuando como agentes transformadores em prol do nosso objetivo.",br.indeed.com/rc/clk?jk=fba0d1fbea2e00d5&fccid=c18603476828257c&vjs=3
Gen Brazil - Developer Back-end (Landmark),Halliburton,"3,9",Estado do Rio de Janeiro,PostedAnunciada há 21 dia,"We are seeking passionate and curious software developers with coding experience in Java, Python or NodeJS, and familiarity with cloud technologies and creating…",br.indeed.com/rc/clk?jk=6cd34050fe7382f8&fccid=0e4554ac6dcff427&vjs=3
Estágio na área Comercial (Data Analytics e CRM) | Rio de Janeiro - RJ,Wilson Sons,"4,4","Rio de Janeiro, RJ",PostedAnunciada há 18 dia,"É o nosso olhar para o futuro que garante as melhores oportunidades para os nossos parceiros.
Auxiliar no controle de indicadores comerciais dentro do CRM -…",br.indeed.com/rc/clk?jk=43a5d3afa5af3233&fccid=937439d7959e38ef&vjs=3
Research Analyst I,S&P Global,"3,9","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,The Impact: The Research Analyst helps in the creation of research content that helps suppliers understand the real demand for goods and services with the…,br.indeed.com/rc/clk?jk=7507b2395c7d0012&fccid=b716e44d2c6283e7&vjs=3
Senior Control and Automation Engineer,TechnipFMC,"4,0","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Professionals must be graduated in engineering, preferably in one of these: Control/Automation, Mechatronics, Electronics, Mechanics, Computing or Electrical.",br.indeed.com/rc/clk?jk=936e5543c50a3a5b&fccid=1f21273599e9ffba&vjs=3
DevOps- Vaga Presencial - Pleno - Rio de Janeiro,Synoro Negócios Inovadores,"5,0","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Desenvolver soluções de integração de dados que tenha vivência em ambiente de nuvem (AWS, Google Cloud) e em projetos com abordagem Ágil/DevOps.",br.indeed.com/rc/clk?jk=356dadbfa060a549&fccid=939813f7b2dce14a&vjs=3
Analista de Dados SR - HR Intelligence Analyst,Subsea7,"4,2","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Responsável pela administração, preparação de propostas de recursos em conjunto com GPC, produção de cenários em uma abordagem estruturada, elaboração do…",br.indeed.com/rc/clk?jk=6ab7cacc20dc2021&fccid=a5ad4eb23ad5b51b&vjs=3
Gen Brazil - Development Team Lead (Landmark),Halliburton,"3,9",Estado do Rio de Janeiro,PostedAnunciada há 7 dia,"We are looking for the right people — people who want to innovate, achieve, grow and lead.
We attract and retain the best talent by investing in our employees…",br.indeed.com/rc/clk?jk=f8d643df90dac561&fccid=0e4554ac6dcff427&vjs=3
Analista de Pricing Sr B2B,Vibra Energia,"3,7","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Área responsável pelo desenvolvimento de novos produtos, precificação, interfaces com suprimentos e logística, como suporte às áreas comerciais visando a…",br.indeed.com/rc/clk?jk=50bea434779c92c3&fccid=72d4b3d08fa32b4e&vjs=3
DevOps- Vaga Presencial - Pleno - Rio de Janeiro,Synoro Negócios Inovadores,"5,0","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Com mais de 15 de história o Grupo Synoro é referência na prestação de serviços em soluções analíticas.
Alcançamos esse resultado devido a nossa experiência em…",br.indeed.com/rc/clk?jk=356dadbfa060a549&fccid=939813f7b2dce14a&vjs=3
Desenvolvedor BI Sr.,TO Brasil,"4,1","Rio de Janeiro, RJ",PostedAnunciada há 19 dia,"Data de publicação: 13/04/2023.
Local da vaga: - Rio de Janeiro.
Área e especialização profissional: Programador / Desenvolvedor;
Inscrições até: 13/05/2023.",br.indeed.com/rc/clk?jk=847eb8d3bee50d52&fccid=25da27c28c9aa5c7&vjs=3
Senior Control and Automation Engineer,TechnipFMC,"4,0","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"TechnipFMC is a global leader in the energy industry, specialized in subsea and surface technologies integrated projects, products, and services.",br.indeed.com/rc/clk?jk=936e5543c50a3a5b&fccid=1f21273599e9ffba&vjs=3
Especialista em Aplicações CAE,ESSS,"4,4","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Como Especialista em Aplicações com foco em pré e pós-vendas, você irá identificar os desafios técnicos e comerciais de nossos clientes globais, com…",br.indeed.com/rc/clk?jk=90ba6f89bac60639&fccid=87e30d5fb8d00995&vjs=3
CONSULTOR DE DATA SCIENCE - INCORPORAÇÃO SETEMBRO DE 2023,Management Solutions,"3,6","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Management Solutions é uma empresa de *consultoria internacional* focada em negócios, finanças, risco, organização, tecnologia e processos, tanto em seus…",br.indeed.com/company/Management-Solutions/jobs/Cientista-De-Dados-28c78f77a6009242?fccid=f3eca80b6759548b&vjs=3
Desenvolvedor(a) Sênior,Oliveira Trust,"4,0","Home office in Barra da Tijuca, RJ",PostedAnunciada há 5 dia,"Acreditamos no poder do aprendizado e queremos te ajudar na sua trajetória pessoal e profissional.
Nossas atitudes servem de exemplo para todos.",br.indeed.com/rc/clk?jk=6ff21e62382dcfbb&fccid=2c0a3c7616def7da&vjs=3
